,brands,code,product_name,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
0,sidi ali,6111035000430,sidi ali,0.0,20.0,42.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,Low,Moderate Sugar,No
1,jaouda,6111242100992,perly,97.0,406.0,9.4,7.5,3.0,1.15,8.0,0.0,0.0,3.0,4.0,0.0,0.7978723404255319,Low,Moderate Sugar,No
2,sidi ali,6111035002175,sidi ali,0.0,20.0,42.0,14.0,0.0,0.0,0.0,65.0,26.0,1.0,0.0,0.0,0.3333333333333333,Low,Moderate Sugar,No
3,les eaux minerales doulmessidi ali,6111035000058,eau minerale naturelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,26.0,1.0,0.0,0.0,,Low,Low Sugar,No
4,aquafina,6111252421568,kwfyn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00508,0.002032,1.0,0.0,0.0,,Low,Low Sugar,No
5,jaouda,6111266962187,lait,45.0,188.0,4.9,0.0,1.5,1.0,3.1,0.225,0.09,3.0,-3.0,0.0,0.0,Low,Low Sugar,No
6,cristaline,3274080005003,eau de source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,21.0,1.0,0.0,0.0,,Low,Low Sugar,No
7,milky food professional,6111246721261,fromage blanc nature,80.6,337.0,6.1,0.0,12.0,0.0,7.3,0.0,0.0,3.0,-2.0,0.0,0.0,Low,Low Sugar,No
8,jaouda,6111242101180,uht jaouda 1l,58.0,242.672,4.8,0.0,3.0,0.0,3.0,0.0,0.0,1.0,-1.0,0.0,0.0,Low,Low Sugar,No
9,jaouda,6111242106949,jben,235.0,984.0,3.5,0.0,21.0,15.0,8.0,0.46,0.184,4.0,11.0,0.0,0.0,Moderate,Low Sugar,Yes
10,danone,6111128000071,ain saiss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,Low,Low Sugar,No
11,ain atlas,6111035502828,eau mineral naturelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,Low,Low Sugar,No
12,sidi ali,6111035000027,6111035000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0026,1.0,0.0,0.0,,Low,Low Sugar,No
