brands,code,product_name
sidi ali,6.11104E+12,sidi ali
jaouda,6.11124E+12,perly
sidi ali,6.11104E+12,sidi ali
les eaux minerales doulmessidi ali,6.11104E+12,eau minerale naturelle
aquafina,6.11125E+12,kwfyn
jaouda,6.11127E+12,lait
cristaline,3.27408E+12,eau de source
milky food professional,6.11125E+12,fromage blanc nature
jaouda,6.11124E+12,uht jaouda 1l
jaouda,6.11124E+12,jben
danone,6.11113E+12,ain saiss
ain atlas,6.11104E+12,eau mineral naturelle
sidi ali,6.11104E+12,6.11104E+12
marmiteunilever,50184453,marmite yeast extract
centrale danone,6.11103E+12,lait frais
cocacola,5.449E+12,original taste
pepsi,6.11125E+12,kwfyn
lu,7.62221E+12,prince gout chocolat
lindtsprungli,3.04692E+12,lindt excellence 90
lindt excellence,3.04692E+12,intense dark
ferrero,3.01762E+12,nutella
coca cola,5.449E+12,orange juice
bimo,6.11103E+12,tonik
danone,6.11113E+12,ain saiss eau minerale naturelle
gerble,3.17568E+12,sesame
delicia,6.11116E+12,confiture de fraise
jaouda,6.11124E+12,yaourt nature
gullon,8.41038E+12,zero sin azucares fibra
lindt,3.04692E+12,excellence 85 cacao rich dark
star,6.11118E+12,mayonnaise recette originale
jasons,5.02513E+12,sourdough white ciabattin bread
alpro,5.41119E+12,gerostete mandel ohne zucker
jd gross,20995553,chocolat noir  85 cacao
cristaline,3.26884E+12,cristaline eau de source 05l
ferrero,3.01762E+12,nutella
jasons,5.02513E+12,the great white sourdough
jasons,5.02513E+12,sourdough grains  seeds
la hollandaise,6.1112E+12,cheddar
alestolidl,20724696,mandeln
star,6.11118E+12,star branded iodized salt
star,6.11118E+12,ketchup star 310 g
alesto,20267605,cashewkerne
henrys,3.3626E+12,henrys
danone,6.11103E+12,assil
salim,6.11103E+12,salim
cocacola,5.449E+12,cocacola
jaouda,6.11124E+12,cremy
the cocacola company,5.449E+12,ciel
danone,6.11113E+12,ain saiss 50cl
original,6.11125E+12,cream cheese
lurpak,5.7409E+12,spreadable slightly salted
green  blacks,7.62221E+12,organic 70 dark chocolate bar
jibal,6.11125E+12,jibal jben
excelo,6.11126E+12,king cookies
nestle,6.11102E+12,nescafe classic
danone,6.11103E+12,jamila ryby
ain lfrane,6.11125E+12,eau
aquafina,6.11125E+12,aquafina 50cl
solis,8.44529E+12,sauce tomate cuisinee
cocacola,5.449E+12,coke zero
henrys,3.3626E+12,sable coco henry s 42g
heinz,5.00016E+12,beanz in a rich tomato sauce
ain atlas,6.11104E+12,ain atlas 50cl
alpro,5.41119E+12,hafer milch
oatly,7.39438E+12,oat drink barista edition
dost,6.11125E+12,lait uht entier
la prairie,6.1112E+12,margarine la prairie 225g
wasa,7.3004E+12,tartine croustillante authentique
lindt,3.04692E+12,excellence noir intense 70 cacao
star,6.11118E+12,star vinaigre de table blanc
rigoni di asiago,8.05258E+12,nocciolata
bonne maman,3.60858E+12,pate a tartiner noisettes et cacao
tyrrells,5.06004E+12,lightly sea salted crisps
weetabix,5.01003E+12,weetabix
green and black,7.62221E+12,dark chocolate
volvic,3.05764E+12,eau minerale naturelle
joly,6.11116E+12,filets de maquereau
lindt,3.04692E+12,excellence noir puissant 85 cacao
primevere,3.15525E+12,tartine doux
sos,6.11125E+12,6.11252E+11
bjorg,3.22982E+12,fourres chocolat noir
el baraka,6.11118E+12,confiture de fraises 430 g
fin carre,20022464,noir intense 74 cacao
jardin bio lea nature,3.76002E+12,pur beurre de cacahuete
hawaicoca cola,5.449E+12,hawai tropical
jaouda,6.11124E+12,lait entier uht
kikkoman,8.71504E+12,sojasauce
yoplait,3.32977E+12,skyr nature 0
kallo,5.01367E+12,organic lightly salted wholegrain low fat rice cakes
star,6.11118E+12,mayonnaise
la boulangere,3.76005E+12,pain de mie grandes tranches seigle  graines 500g
rigoni di asiago,8.05258E+12,nocciolata bio
jasons,5.02513E+12,jasons sourdough 07 superb sprouted grains
wasa,7.3004E+12,fibres
krisprolls,7.31107E+12,krisprolls complets sans sucres ajoutes
jacquet,3.02933E+12,14 maxi tranches complet sans sucres ajoutes
henrys,3.3626E+12,henrys
delicia,6.11116E+12,confiture dabricot
barilla,8.07681E+12,pesto alla genovese
alpro,5.41119E+12,mandelmilch mit zucker
quaker,3.16893E+12,cruesly melange de noix
excelo,6.11126E+12,momo black
poulain,16256163,poulain
heinz,50457236,tomato ketchup
lu mondelez tuc mondelez,5.41004E+12,original
ferrero nutella,3.01762E+12,nutella
bimomondelez,6.11103E+12,merendino
nutellaferrero,8.0005E+12,biscuits croquants au coeur onctueux de nutellar
danone,6.11103E+12,danone assil banane
lilia,6.1111E+12,mrgryn lmyd
poulain,16256866,1848 chocolat en poudre
centrale danone jebli,6.11121E+12,jebli
el baraka,6.11118E+12,el baraka confiture dabricots 430 g
nestlenestle waterssan pellegrino,8.00227E+12,s pellegrino water
ferreronutella,59032823,nutella
nescafe,6.11102E+12,nescafe
primevere,3.15525E+12,primevere bio doux tartine  cuisson
excelo,6.11126E+12,eyoo cover
jaouda,6.11124E+12,raibi jaoda
danonela salvetat,3.06832E+12,la salvetat
tendre jouda,6.11124E+12,tendre nature
milbona lidl,4.05649E+12,natural yogurt
jaouda,6.11124E+12,yaourt grec muesli
ekibiole pain des fleurs,6175700,tartines craquantes au sarrasin imp
ryvita,5.01027E+12,dark rye crispbread
danone,6.11103E+12,danino
cocacola,5.449E+12,cocacola zero
andros,3.60858E+12,be nuts   pate a tartiner cacahuete
gerble,3.17568E+12,pomme   noisette
cocacola,54491472,coca cola 05
elle  vire savencia,3.45179E+12,le beurre tendre doux
weetabix,5.01003E+12,family pack
jaouda,6.11124E+12,lben carton pasteuriser
crownfield,20003166,aveia em flocos finos lidl
kallo,5.01367E+12,organic vegetable stock cubes
albane,6.11125E+12,le bon lait
alpro,5.41119E+12,oat
aperitivos company,6.11125E+12,trios
jaouda,6.11124E+12,le lait demi ecreme
jd grosslidl,20095291,dark chocolate 70
bjorg,3.22982E+12,flocons davoine
the tofoo co,5.03447E+12,tofoo naked
chergui,6.11113E+12,lait frais 15 jours
bahia,6.11104E+12,bahia eau de table
elle  vire,3.48034E+12,carre frais
margafrique,6.1112E+12,la prairie classique
nature valley,8.41008E+12,crunchy oats  honey
ferrero,4.0084E+12,nutella
kinderkinder bueno,80052760,2 bars milk and hazelnuts
jaouda,6.11124E+12,ghilal yaourt zr3
gerble,3.25149E+12,figue  son
gerble,3.17568E+12,levure de biere
bjorg,3.22982E+12,croustillant chocolat
cocacola,5.449E+12,zero sugar
la boulangerela boulangere bio,3.76005E+12,pain de mie bio
lidl rowan hill bakery lidl rowan hill bakery lidl tastino,20006105,wholegrain rye bread
lindtsprungli,3.04692E+12,bitter extra kraftig
hovis,5.01E+12,seed sensations
parmentier,3.01908E+12,sardines huile dolive vierge extra
cocacola,5.449E+12,cocacola
lesieur,6.11102E+12,huile de table equilibree riche en vitamines aed3
nestle,7.61304E+12,nestle dessert
be,6.11126E+12,petit beurre
mont roucous,3.25797E+12,eau minerale naturelle
pasquier,3.25654E+12,pains au lait x10
ferreronutella,8.0005E+12,nutella
milka,3.04514E+12,chocolat au lait
heinz,50457250,tomato ketchup
star,6.11118E+12,moutarde 1050 g
new york bakery co,5.02036E+12,bakery co 5 the original bagels
cocacola,42105220,coca cola
yeo valley organic,5.03659E+12,yeo valley organic kefir natural fermented yogurt
nestle ricore,3.03371E+12,ricore original
la boulangere,3.28423E+12,brioche tranchee bio 400g
jaouda,6.11124E+12,croissance reduit en sucre
mondelez international,7.6222E+12,philadelphia
jaouda,6.11124E+12,beurre frais pasteurise
les eaux minerales doulmes,6.11104E+12,eau minerale naturelle gazeuse
orangina schweppes francepulcoschweppes international limited,3.22535E+12,pulco citron
heinz,87157215,tomato ketchup
fairglobe,40896243,bio chocolat noir cacao 70
heinz,50457243,tomato ketchup
